TextType,MaxLength,Format,SheetInfo,CopyFromSelectedSheet,ChangeableByScriptOnly,CanModify,CanHide,CanModifyInivisible,DatabaseField,SystemDefined,ConnectionTargetFormat,UseActivePinTerminal,TEXTNAME_86,TEXTNAME_31,TEXTNAME_44,TEXTNAME_33,TEXTNAME_49,TEXTNAME_39,TEXTNAME_81,TEXTNAME_351,TEXTNAME_07,TEXTNAME_34,TEXTNAME_90,TEXTNAME_48
418,0,,0,0,0,0,0,0,NetSegCircumference,0,0,0,线段周长,net segment omvang,Net segment circumference,Circonférence du segment de réseau,Netzsegment Umfang,Circonferenza segmento,セグメントの外周,Circunferência do segmento de rede,Сечение сегмента цепи,Circunferencia de segmento de red,Net çevresi,Obwód segmentu sieci
420,25,,0,0,0,0,0,0,Function,0,0,0,设备功能,functie van het toestel,Device function,Fonction d'appareil,Betriebsmittel-Funktion,Funzione dispositivo,デバイス機能,Função de dispositivo,Функция изделия в проекте,Función dispositivo,Cihaz Fonsiyonu,Funkcja urządzenia
421,0,,0,0,0,0,0,0,DeviceSubFunction,0,0,0,Device sub-function,sub-functie van het toestel,Device sub-function,Sous-fonction d'appareil,Betriebsmittel-Unterfunktion,Sottofunzione dispositivo,デバイスサブ機能,Sub-função do dispositivo,Device sub-function,Sub-función dispositivo,Cihaz alt-işlev,Podfunkcja urządzenia
423,0,,0,0,0,0,0,0,Dismanteling,0,0,0,剥绝缘皮(mm),ontmanteling (mm),Amount of insulation to be cut back/stripped (mm),Dénudage (mm),Abmantelung (mm),Sguainatura (mm),剥きしろ(mm),Decapagem (mm),Длина жилы без оболочки кабеля (мм),Dismanteling (mm),Parça boyutu(mm),Ilość izolacji do usunięcia/odizolowania (mm)
424,0,,0,0,0,0,0,0,.ISOLATE,0,0,0,绝缘,isolatie,Insulation,Isolation,Abisolierung,Spelatura,絶縁体,Isolamento,Изоляция,Aislamiento,İzolasyon,Izolacja
425,0,,0,0,0,0,0,0,Dismanteling_Shield,0,0,0,剥绝缘皮 Shield (mm),ontmanteling Shield (mm),Amount of insulation to be cut back/stripped Shield (mm),Dénudage Shield (mm),Abmantelung Schirm (mm),Sguainatura Shield (mm),剥きしろShield (mm),Decapagem Shield (mm),Длина жилы без оболочки кабеля Shield (мм),Dismanteling Shield (mm),Parça boyutu Shield (mm),Ilość izolacji do usunięcia/odizolowania dla ekranu (mm)
430,3,,0,0,0,0,0,0,NominalWidth,0,0,0,正常宽度,nominale breedte,Nominal Width,Largeur nominale,Nennweite,Sezione nominale,公称幅,Largura nominal,Номинальная ширина,Anchura nominal,Nominal Genişlik,Nominalna szerokość
440,0,,0,0,0,0,0,0,PlcFunctionType,0,0,0,,,PLC Function Type,,#440,,,,,,,PLC Typ Funkcji
443,0,,0,0,0,0,0,0,Length,0,0,0,长度,lengte,Length,Longueur,Länge,Lunghezza,長さ,Comprimento,Длина,Longitud,Uzunluk,Długość
450,0,,0,0,0,0,0,0,BundleType,0,0,0,线束类型,bundeltype,Bundle Type,Type de faisceau,Bündeltyp,Tipo fascio,バンドルタイプ,Tipo de Agrupamento,Тип изоляции жил,Tipo de bundle,Paket Türü,Typ wiązki
468,0,,0,0,0,0,0,0,PID_EMSR-Function,0,0,0,PID EMSR-Points-Function,PID EMSR-Points-Function,PID EMSR-Points-Function,PID fonction points EMSR,PID EMSR-Stellen-Funktion,PID EMSR-Points-Function,P&ID EMSR識別名,PID EMSR-Points-Function,PID EMSR-Points-Функция,PID EMSR-Points-Function,PID EMSR-Nokta-Fonksiyon,PID EMSR-Funkcja-Punktów
469,0,,0,0,0,0,0,0,PID_EMSR-ItemDesignation,0,0,0,PID EMSR-Points-Item Designation,PID EMSR-Points-Item Designation,PID EMSR-Points-Item Designation,PID désignation d'élément points EMSR,PID EMSR-Stellen-Kennzeichen,PID EMSR-Points-Item Designation,P&ID EMSRファンクション,PID EMSR-Points-Item Designation,PID EMSR-Points-Поз. Обозначение,PID EMSR-Points-Item Designation,PID EMSR-Nokta-Parması,PID EMSR - Punkty - Oznaczenie urządzenia
470,0,,0,0,0,0,0,0,DeviceName_Electrical,0,0,0,设备特征符号电子,toestelbenaming elektrisch,Item Designation Electric,Item Designation Electric,Betriebsmittelkennzeichen Elektrisch,Designazione Dispositivo - Elettrica,デバイス機能 (1),Designação de Item Elétrico,Обозначение электрической схемы,Designación de Objeto - eléctrica,Öğe Atama Akışkan,Elektryczne Oznaczenie Elementu
471,0,,0,0,0,0,0,0,DeviceName_Fluid,0,0,0,设备特征符号流体,toestelbenaming fluid,Item Designation Fluid,Item Designation Fluid,Betriebsmittelkennzeichen Fluid,Designazione Dispositivo - Fluidica,アイテム識別名(電気),Designação de Item Hidráulico,Обозначение гидравлической схемы,Designación de Objeto - Fluid,Öğe Atama Pnömatik,Hydr./Pneu. Oznaczenie Elementu
472,20,,0,0,0,0,0,0,DeviceName_Pneumatic,0,0,0,设备特征符号气动,toestelbenaming pneumatisch,Item Designation Pneumatic,Item Designation Pneumatic,Betriebsmittelkennzeichen Pneumatik,Designazione Dispositivo - Pneumatica,アイテム識別名(空力),Designação de Item Pneumático,Обозначение пневматической схемы,Designación de Objeto - neumática,Öğe Atama Elektrik,Pneumatyczne Oznaczenie Elementu
473,0,,0,0,0,0,0,0,Device_Text_Instances,0,0,0,内部对象代号电气,interne toestelbenaming (elektrisch),Item Designation (Text Instance),"Désignation d'élément interne, électrique",Betriebsmittelkennzeichen (Text Instanz),Designazione Dispositivo (istanza del testo),内部アイテム識別名電気,designação elétrica de item interno,внутреннее позиционное обозначение - электрика,Designación interna de objeto eléctrico,İç Öğe Atama Elektrik,Oznaczenie Elementu (Instancja Tekstu)
482,0,,0,0,0,0,0,0,AdditionalPart,0,0,0,附加零件,bijvoegsel,Additional Part,Pièce supplémentaire,Zusatzteil,Parte addizionale,追加パート,Peça Adicional,Дополнительная часть,Parte adicional,Ek Bölüm,Dodatkowy Element
483,0,,0,0,0,0,0,0,Step,0,0,0,增量,increment,Increment,Incrément,Schrittweite,Passo,予備 (1),Incremento,Шаг масштабирования,Incremento,artış,Przyrost
484,0,,0,0,0,0,0,0,,0,0,0,状态,toestand,State,State,Zustand,Stato,状態,Estado,Режим,Estado,Durum,Stan
490,0,,0,0,0,0,0,0,,0,0,0,电线标识符,draadkenteken,Wire Identifier,Identificateur de fil,Drahtkennzeichnung,Identificatore filo,ワイヤID,Identificador de fio,Идентификатор провода,Identificador de hilo,Tel Tanımlayıcı ,Idenfyfikator Przewodu
