ColorCode,Color,Linetype,Type,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48
81,0,0,0,蓝绿,BlauGroen,BlueGreen,BleuVert,BlauGrün,BluVerde,青緑,Azul e Verde,синий-зеленый,AzulVerde,MaviYeşil,NiebieskoZielony
82,0,0,0,蓝红,BlauRood,BlueRed,BleuRouge,BlauRot,BluRosso,青赤,Azul e Vermelho,синий-красный,AzulRojo,MaviKırmızı,NiebieskoCzerwony
83,0,0,0,黑色色,ZwartGeel,BlackYellow,NoirJaune,SchwarzGelb,NeroGiallo,黒黄,Preto e Amarelo,черный-желтый,NegroAmarillo,SiyahSarı,CzarnoŻółty
84,0,0,0,黑绿,ZwartGroen,BlackGreen,NoirVert,SchwarzGrün,NeroVerde,黒緑,Preto e Verde,черный-зеленый,NegroVerde,SiyahYeşil,CzarnoZielony
85,0,0,0,黑红,ZwartRood,BlackRed,NoirRouge,SchwarzRot,NeroRosso,黒赤,Preto eVermelho,черный-красный,NegroRojo,SiyahKırmızı,CzarnoCzerwony
86,0,0,0,浅棕,Beige,Light brown,Beige ,Beige,Beige,ライトブラウン,Bege,Бежевый,Beis,Açık Kahverengi,Jasnobrązowy
87,0,0,0,浅棕白,BeigeWit,Ligjt brownWhite,BeigeBlanc,BeigeWeiss,BeigeBianco,ライトブラウンホワイト,BegeBranco,БежевыйБелый,BeiseBlanco,Açık Kahverengi Beyaz,JasnobrązowoBiały
88,0,0,0,透明白色,TransparantWit,TransparentWhite,TransparentBlanc,TransparentWeiss,TrasparenteBianco,透明ホワイト,TransparenteBranco,ПрозрачныйБелый,TransparenteBlanco,ŞeffafBeyaz,PrzeźroczystyBiały
89,0,0,0,橙黑,OranjeZwart,OrangeBlack,OrangeNoir,OrangeSchwarz,ArancioNero,オレンジブラック,LaranjaNegro,ОранжевыйЧерный,NaranjaNegro,TuruncuSiyah,PomarańczowoCzarny
90,0,0,0,紫黑,PaarsZwart,VioletBlack,VioletNoir,ViolettSchwarz,ViolaNero,バイレットブラック,VioletaNegro,ФиолетовыйЧерный,VioletaNegro,MorSiyah,FioletowoCzarny
91,0,0,0,紫白,PaarsWit,VioletWhite,VoiletBlanc,ViolettWeiss,ViolaBianco,バイオレットホワイト,VioletaBranco,ФиолетовыйБелый,VioletaBlanco,MorBeyaz,FioletowoBiały
92,0,0,0,黑1,Zwart1,Black1,Noir1,Schwarz1,Nero1,ブラック1,Negro1,Черный1,Negro1,Siyah1,Czarny1
93,0,0,0,黑2,Zwart2,Black2,Noir2,Schwarz2,Nero2,ブラック2,Negro2,Черный2,Negro2,Siyah2,Czarny2
94,0,0,0,黑3,Zwart3,Black3,Noir3,Schwarz3,Nero3,ブラック3,Negro3,Черный3,Negro3, Siyah3,Czarny3
95,0,0,0,黑4,Zwart4,Black4,Noir4,Schwarz4,Nero4,ブラック4,Negro4,Черный4,Negro4, Siyah4,Czarny4
96,0,0,0,黑5,Zwart5,Black5,Noir5,Schwarz5,Nero5,ブラック5,Negro5,Черный5,Negro5, Siyah5,Czarny5
97,0,0,0,黑6,Zwart6,Black6,Noir6,Schwarz6,Nero6,ブラック6,Negro6,Черный6,Negro6,Siyah6,Czarny6
98,0,0,0,黑7,Zwart7,Black7,Noir7,Schwarz7,Nero7,ブラック7,Negro7,Черный7,Negro7,Siyah7,Czarny7
99,0,0,0,黑8,Zwart8,Black8,Noir8,Schwarz8,Nero8,ブラック8,Negro8,Черный8,Negro8,Siyah8,Czarny8
