Color,ColorCode,Linetype,Type,DESCRIPTION_34,DESCRIPTION_86,DESCRIPTION_49,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_31,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_90,DESCRIPTION_48
0,70,0,0,MarrónBlanco,棕色白,BraunWeiss,BrownWhite,BrunBlanc,MarroneBianco,茶白,BruinWit,Marrom e Branco,коричневый-белый,KahverengiBeyaz,BrązowoBiały
0,71,0,0,Azul oscuroBlanco,深蓝白,DunkelblauWeiss,Dark blueWhite,Bleu foncéBlanc,Blu scuroBianco,紺白,DonkerblauwWit,Azul escuro e Branco,темно-синий-белый,Koyu MaviBeyaz,CzarnoniebieskoBiały
496,72,0,0,Azul claro,浅蓝,Hellblau,Light blue,Bleu clair,Azzurro,Light blue,Licht blauw,Azul Claro,Light blue,Açık mavi,Jasnoniebieski
0,73,0,0,RojoMarrón,色红棕,RotBraun,RedBrown,RougeBrun,RossoMarrone,赤茶,RoodBruin,Vermelho e Marrom,красный-Коричнево,KırmızıKahverengi,CzerwonoBrązowy
0,74,0,0,VerdeGris,绿色灰,GrünGrau,GreenGrey,VertGris,VerdeGrigio,緑グレー,GroenGrijs,Verde e Cinza,Зелено-коричневый,YeşilGri,ZielonoSzary
0,75,0,0,VerdeMarrón,墨绿棕,GrünBraun,GreenBrown,VertBrun,VerdeMarrone,緑茶,GroenBruin,Verde e Marrom,Зелено-Коричнево,YeşilKahverengi,ZielonoBrązowy
0,76,0,0,RojoAmarillo,色红色,RotGelb,RedYellow,RougeJaune,RossoGiallo,赤黄,RoodGeel,Vermelho e Amarelo,красный-желтый,KırmızıSarı,CzerwonoŻółty
0,77,0,0,RojoGris,红灰,RotGrau,RedGrey,RougeGris,RossoGrigio,赤グレー,RoodGrijs,Vermelho e Cinza,красный-Серый,KırmızıGri,CzerwonoSzary
0,78,0,0,RojoVerde,红绿,RotGrün,RedGreen,RougeVert,RossoVerde,赤緑,RoodGroen,Vermelho e Verde,красный-зеленый,KırmızıYeşil,CzerwonoZielony
0,79,0,0,MarrónAmarillo,棕色色,BraunGelb,BrownYellow,BrunJaune,MarroneGiallo,茶黄,BruinGeel,Marrom e Amarelo,коричневый-желтый,KahverengiSarı,BrązowoŻółty
0,80,0,0,AzulAmarillo,蓝色色,BlauGelb,BlueYellow,BleuJaune,BluGiallo,青黄,BlauGeel,Azul e Amarelo,синий-желтый,MaviSarı,NiebieskoŻółty
0,81,0,0,AzulVerde,蓝绿,BlauGrün,BlueGreen,BleuVert,BluVerde,青緑,BlauGroen,Azul e Verde,синий-зеленый,MaviYeşil,NiebieskoZielony
0,82,0,0,AzulRojo,蓝红,BlauRot,BlueRed,BleuRouge,BluRosso,青赤,BlauRood,Azul e Vermelho,синий-красный,MaviKırmızı,NiebieskoCzerwony
0,83,0,0,NegroAmarillo,黑色色,SchwarzGelb,BlackYellow,NoirJaune,NeroGiallo,黒黄,ZwartGeel,Preto e Amarelo,черный-желтый,SiyahSarı,CzarnoŻółty
0,84,0,0,NegroVerde,黑绿,SchwarzGrün,BlackGreen,NoirVert,NeroVerde,黒緑,ZwartGroen,Preto e Verde,черный-зеленый,SiyahYeşil,CzarnoZielony
0,85,0,0,NegroRojo,黑红,SchwarzRot,BlackRed,NoirRouge,NeroRosso,黒赤,ZwartRood,Preto eVermelho,черный-красный,SiyahKırmızı,CzarnoCzerwony
0,86,0,0,Beis,浅棕,Beige,Light brown,Beige ,Beige,ライトブラウン,Beige,Bege,Бежевый,Açık Kahverengi,Jasnobrązowy
0,87,0,0,BeiseBlanco,浅棕白,BeigeWeiss,Ligjt brownWhite,BeigeBlanc,BeigeBianco,ライトブラウンホワイト,BeigeWit,BegeBranco,БежевыйБелый,Açık Kahverengi Beyaz,JasnobrązowoBiały
0,88,0,0,TransparenteBlanco,透明白色,TransparentWeiss,TransparentWhite,TransparentBlanc,TrasparenteBianco,透明ホワイト,TransparantWit,TransparenteBranco,ПрозрачныйБелый,ŞeffafBeyaz,PrzeźroczystyBiały
0,89,0,0,NaranjaNegro,橙黑,OrangeSchwarz,OrangeBlack,OrangeNoir,ArancioNero,オレンジブラック,OranjeZwart,LaranjaNegro,ОранжевыйЧерный,TuruncuSiyah,PomarańczowoCzarny
0,90,0,0,VioletaNegro,紫黑,ViolettSchwarz,VioletBlack,VioletNoir,ViolaNero,バイレットブラック,PaarsZwart,VioletaNegro,ФиолетовыйЧерный,MorSiyah,FioletowoCzarny
0,91,0,0,VioletaBlanco,紫白,ViolettWeiss,VioletWhite,VoiletBlanc,ViolaBianco,バイオレットホワイト,PaarsWit,VioletaBranco,ФиолетовыйБелый,MorBeyaz,FioletowoBiały
0,92,0,0,Negro1,黑1,Schwarz1,Black1,Noir1,Nero1,ブラック1,Zwart1,Negro1,Черный1,Siyah1,Czarny1
0,93,0,0,Negro2,黑2,Schwarz2,Black2,Noir2,Nero2,ブラック2,Zwart2,Negro2,Черный2,Siyah2,Czarny2
0,94,0,0,Negro3,黑3,Schwarz3,Black3,Noir3,Nero3,ブラック3,Zwart3,Negro3,Черный3, Siyah3,Czarny3
0,95,0,0,Negro4,黑4,Schwarz4,Black4,Noir4,Nero4,ブラック4,Zwart4,Negro4,Черный4, Siyah4,Czarny4
0,96,0,0,Negro5,黑5,Schwarz5,Black5,Noir5,Nero5,ブラック5,Zwart5,Negro5,Черный5, Siyah5,Czarny5
0,97,0,0,Negro6,黑6,Schwarz6,Black6,Noir6,Nero6,ブラック6,Zwart6,Negro6,Черный6,Siyah6,Czarny6
0,98,0,0,Negro7,黑7,Schwarz7,Black7,Noir7,Nero7,ブラック7,Zwart7,Negro7,Черный7,Siyah7,Czarny7
0,99,0,0,Negro8,黑8,Schwarz8,Black8,Noir8,Nero8,ブラック8,Zwart8,Negro8,Черный8,Siyah8,Czarny8
0,100,0,0,Negro9,黑9,Schwarz9,Black9,Noir9,Nero9,ブラック9,Zwart9,Negro9,Черный9,Siyah9,Czarny9
0,101,0,0,Negro10,黑10,Schwarz10,Black10,Noir10,Nero10,ブラック10,Zwart10,Negro10,Черный10,Siyah10,Czarny10
0,102,0,0,Negro11,黑11,Schwarz11,Black11,Noir11,Nero11,ブラック11,Zwart11,Negro11,Черный11,Siyah11,Czarny11
0,103,0,0,Negro12,黑12,Schwarz12,Black12,Noir12,Nero12,ブラック12,Zwart12,Negro12,Черный12,Siyah12,Czarny12
0,104,0,0,Negro13,黑13,Schwarz13,Black13,Noir13,Nero13,ブラック13,Zwart13,Negro13,Черный13,Siyah13,Czarny13
0,105,0,0,Negro14,黑14,Schwarz14,Black14,Noir14,Nero14,ブラック14,Zwart14,Negro14,Черный14,Siyah14,Czarny14
0,106,0,0,Negro15,黑15,Schwarz15,Black15,Noir15,Nero15,ブラック15,Zwart15,Negro15,Черный15,Siyah15,Czarny15
0,107,0,0,Negro16,黑16,Schwarz16,Black16,Noir16,Nero16,ブラック16,Zwart16,Negro16,Черный16,Siyah16,Czarny16
0,108,0,0,Negro17,黑17,Schwarz17,Black17,Noir17,Nero17,ブラック17,Zwart17,Negro17,Черный17,Siyah17,Czarny17
0,109,0,0,Negro18,黑18,Schwarz18,Black18,Noir18,Nero18,ブラック18,Zwart18,Negro18,Черный18,Siyah18,Czarny18
